URL: https://npb.jp/bis/2015/stats/tmb_c.html
チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
ロッテ,.247,143,5412,4700,534,1159,207,35,78,1670,510,124,57,108,43,474,12,86,888,93,.355,.324
オリックス,.244,143,5373,4766,538,1162,204,25,108,1740,513,97,39,118,34,396,24,59,1003,98,.365,.308
楽　天,.241,143,5394,4824,520,1163,166,25,132,1775,500,69,39,76,23,428,23,42,1074,109,.368,.307

URL: https://npb.jp/bis/2019/stats/tmb_p.html
チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
西　武,.265,143,5619,4898,756,1299,229,23,174,2096,718,134,49,78,38,556,23,49,1083,88,.428,.344
日本ハム,.251,143,5428,4778,560,1200,211,28,93,1746,532,48,25,78,33,496,18,43,1044,106,.365,.325
ソフトバンク,.251,143,5345,4775,582,1199,172,19,183,1958,559,113,49,100,30,397,21,43,1084,85,.410,.312
楽　天,.251,143,5506,4766,614,1196,195,22,141,1858,589,48,38,98,35,539,19,68,1127,114,.390,.333
ロッテ,.249,143,5503,4789,642,1194,214,21,158,1924,613,75,35,92,29,505,12,87,1013,99,.402,.330
オリックス,.242,143,5391,4774,544,1153,181,22,102,1684,516,122,59,101,33,417,17,66,1030,85,.353,.309

URL: https://npb.jp/bis/2020/stats/tmb_p.html
チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
楽　天,.258,120,4628,3990,557,1029,190,23,112,1601,534,67,30,87,30,473,9,48,918,87,.401,.341
日本ハム,.249,120,4560,3952,493,986,153,17,89,1440,472,80,23,85,31,460,9,32,878,86,.364,.330
ソフトバンク,.249,120,4480,3933,531,979,165,28,126,1578,500,99,32,81,34,398,13,34,851,50,.401,.321
オリックス,.247,120,4467,3947,442,975,166,19,90,1449,422,95,39,89,21,361,20,49,811,86,.367,.316
西　武,.238,120,4440,3898,479,926,161,24,107,1456,459,85,40,60,27,411,10,44,956,74,.374,.315
ロッテ,.235,120,4505,3840,461,902,171,11,90,1365,435,87,32,96,19,491,16,58,954,80,.355,.329

URL: https://npb.jp/bis/2021/stats/tmb_p.html
チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
オリックス,.247,143,5258,4694,551,1160,178,19,133,1775,520,50,24,80,30,384,21,70,962,104,.378,.312
ソフトバンク,.247,143,5298,4688,564,1157,201,26,132,1806,542,92,30,93,38,452,20,27,1066,80,.385,.314
楽　天,.243,143,5386,4641,532,1129,178,27,108,1685,508,45,36,105,32,538,11,70,975,100,.363,.329
西　武,.239,143,5245,4623,521,1107,195,20,112,1678,496,84,45,83,46,442,11,51,1006,84,.363,.310
ロッテ,.239,143,5329,4612,584,1104,233,17,126,1749,558,107,36,106,42,514,16,55,1053,90,.379,.320
日本ハム,.231,143,5251,4617,454,1067,203,24,78,1552,437,77,36,89,32,468,11,45,1207,93,.336,.306

URL: https://npb.jp/bis/2022/stats/tmb_p.html
チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
ソフトバンク,.255,143,5384,4772,555,1218,189,34,108,1799,529,86,43,110,31,420,10,51,1096,88,.377,.320
オリックス,.246,143,5379,4723,490,1164,220,26,89,1703,466,62,39,114,35,425,26,80,987,98,.361,.317
楽　天,.243,143,5458,4738,533,1150,179,29,101,1690,511,97,50,95,30,535,13,60,1063,99,.357,.325
日本ハム,.234,143,5177,4661,463,1091,214,26,100,1657,441,95,65,98,27,352,18,39,1148,67,.356,.292
ロッテ,.231,143,5300,4655,501,1075,196,15,97,1592,474,132,37,94,47,433,11,69,1052,95,.342,.303
西　武,.229,143,5201,4633,464,1062,191,25,118,1657,441,60,36,78,27,426,19,37,1095,93,.358,.298

URL: https://npb.jp/bis/2023/stats/tmb_p.html
チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
オリックス,.250,143,5324,4782,508,1194,211,17,109,1766,482,52,32,83,25,371,8,63,986,106,.369,.311
ソフトバンク,.248,143,5454,4786,536,1185,195,15,104,1722,513,73,30,107,38,470,14,53,1053,88,.360,.319
楽　天,.244,143,5369,4667,513,1140,168,25,104,1670,485,102,38,125,33,490,9,52,937,108,.358,.321
ロッテ,.239,143,5414,4744,505,1135,220,12,100,1679,475,73,21,116,39,453,20,62,1011,79,.354,.311
西　武,.233,143,5222,4672,435,1088,188,21,90,1588,414,80,38,90,28,387,9,45,1045,97,.340,.296
日本ハム,.231,143,5248,4688,464,1082,195,18,100,1613,443,75,49,84,25,397,10,54,1111,78,.344,.297

URL: https://npb.jp/bis/2024/stats/tmb_p.html
チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
ソフトバンク,.259,143,5436,4798,607,1244,242,31,114,1890,584,89,31,105,32,436,23,64,1085,93,.394,.327
ロッテ,.248,143,5386,4791,493,1186,217,15,75,1658,468,64,14,93,37,429,18,36,923,105,.346,.312
日本ハム,.245,143,5364,4815,532,1181,203,26,111,1769,504,91,52,115,33,348,21,53,1068,100,.367,.301
楽　天,.242,143,5350,4746,492,1149,165,40,72,1610,459,90,26,126,43,389,12,45,977,81,.339,.303
オリックス,.238,143,5208,4673,402,1113,186,18,71,1548,390,61,32,92,36,355,16,52,915,100,.331,.297
西　武,.212,143,5127,4589,350,971,171,29,60,1380,334,83,36,106,27,349,14,56,994,90,.301,.274

URL: https://npb.jp/bis/2025/stats/tmb_p.html
チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
ソフトバンク,.257,143,5399,4785,551,1229,186,29,101,1776,533,98,24,95,33,436,18,50,1130,89,.371,.323
オリックス,.255,143,5453,4913,502,1252,198,19,100,1788,488,58,28,66,36,384,13,54,949,94,.364,.314
日本ハム,.248,143,5396,4866,548,1209,195,31,129,1853,529,79,30,57,28,399,13,46,1142,81,.381,.310
楽天,.244,143,5423,4824,446,1179,146,26,70,1587,432,110,21,77,46,422,18,54,1060,101,.329,.310
ロッテ,.241,143,5304,4790,441,1153,199,20,73,1611,421,68,26,79,33,337,12,65,1038,87,.336,.298
西武,.232,143,5259,4742,410,1102,170,21,80,1554,380,91,42,88,34,346,16,49,925,93,.328,.289

